2022/09/01 11:09:34 available device: cuda:0
2022/09/01 11:09:34 batch_size: 50
2022/09/01 11:09:44 epoch_out: 0, epoch_in: 0, loss: 0.6683338120579719
2022/09/01 11:09:49 epoch_out: 0, epoch_in: 1, loss: -0.25729272663593294
2022/09/01 11:09:55 epoch_out: 0, epoch_in: 2, loss: -0.5938655495643616
2022/09/01 11:10:00 epoch_out: 0, epoch_in: 3, loss: -0.6349508181214333
2022/09/01 11:10:05 epoch_out: 0, epoch_in: 4, loss: -0.8226002499461174
2022/09/01 11:10:10 epoch_out: 0, epoch_in: 5, loss: -1.11830076277256
2022/09/01 11:10:15 epoch_out: 0, epoch_in: 6, loss: -1.2836365908384324
2022/09/01 11:10:20 epoch_out: 0, epoch_in: 7, loss: -1.4788222670555116
2022/09/01 11:10:25 epoch_out: 0, epoch_in: 8, loss: -1.7877792716026306
2022/09/01 11:10:30 epoch_out: 0, epoch_in: 9, loss: -1.9124909400939942
2022/09/01 11:10:30 The epoch_out: 0, epoch_in: 9 of training F and G finished, losslist: [0.6683338120579719, -0.25729272663593294, -0.5938655495643616, -0.6349508181214333, -0.8226002499461174, -1.11830076277256, -1.2836365908384324, -1.4788222670555116, -1.7877792716026306, -1.9124909400939942], acclist: [0, 0.585, 0.58, 0.615, 0.57, 0.575, 0.57, 0.58, 0.585, 0.595, 0.6, 0.585, 0.58, 0.585, 0.565, 0.575, 0.595, 0.6, 0.61, 0.585, 0.585, 0.605, 0.58, 0.53, 0.55, 0.595, 0.58, 0.565, 0.595, 0.575, 0.575, 0.59, 0.54, 0.6, 0.59, 0.605, 0.62, 0.6, 0.575, 0.61, 0.62, 0.575, 0.59, 0.595, 0.605, 0.59, 0.57, 0.605, 0.585, 0.585, 0.575, 0.595, 0.55, 0.57, 0.565, 0.565, 0.585, 0.57, 0.57, 0.56, 0.565, 0.59, 0.57, 0.59, 0.56, 0.58, 0.56, 0.555, 0.585, 0.6, 0.595, 0.58, 0.565, 0.59, 0.575, 0.57, 0.58, 0.56, 0.57, 0.61, 0.595, 0.565, 0.585, 0.595, 0.59, 0.605, 0.575, 0.595, 0.605, 0.56, 0.615, 0.58, 0.56, 0.605, 0.59, 0.58, 0.565, 0.58, 0.555, 0.57, 0.55, 0.565, 0.56, 0.6, 0.58, 0.59, 0.575, 0.56, 0.595, 0.555, 0.57, 0.545, 0.565, 0.565, 0.56, 0.585, 0.58, 0.575, 0.565, 0.585, 0.55, 0.58, 0.575, 0.585, 0.59, 0.585, 0.575, 0.565, 0.58, 0.54, 0.56, 0.59, 0.565, 0.585, 0.58, 0.58, 0.57, 0.54, 0.565, 0.6, 0.575, 0.575, 0.585, 0.61, 0.58, 0.56, 0.59, 0.575, 0.555, 0.575, 0.56, 0.575, 0.555, 0.56, 0.545, 0.545, 0.57, 0.565, 0.57, 0.57, 0.575, 0.58, 0.575, 0.565, 0.555, 0.57, 0.565, 0.575, 0.55, 0.56, 0.565, 0.555, 0.57, 0.575, 0.56, 0.565, 0.565, 0.585, 0.575, 0.555, 0.565, 0.59, 0.565, 0.56, 0.57, 0.58, 0.585, 0.56, 0.585, 0.59, 0.57, 0.56, 0.535, 0.545, 0.525, 0.565, 0.545, 0.555, 0.55, 0.56, 0.575], finalacc: 0.62, alpha: tensor([0.6869, 0.3962, 0.6467, 0.0136, 0.5319, 0.2125, 0.6879, 0.2677])
