2022/08/30 22:15:55 available device: cuda:0
2022/08/30 22:16:13 epoch_out: 0, epoch_in: 0, loss: 0.6474698498845101
2022/08/30 22:16:24 epoch_out: 0, epoch_in: 1, loss: -0.542897142469883
2022/08/30 22:16:35 epoch_out: 0, epoch_in: 2, loss: -0.6961748197674751
2022/08/30 22:16:46 epoch_out: 0, epoch_in: 3, loss: -1.11025420576334
2022/08/30 22:16:57 epoch_out: 0, epoch_in: 4, loss: -1.2603005796670914
2022/08/30 22:17:08 epoch_out: 0, epoch_in: 5, loss: -1.5778785988688468
2022/08/30 22:17:20 epoch_out: 0, epoch_in: 6, loss: -2.09747554063797
2022/08/30 22:17:31 epoch_out: 0, epoch_in: 7, loss: -2.676124703884125
2022/08/30 22:17:42 epoch_out: 0, epoch_in: 8, loss: -3.0854228079319
2022/08/30 22:17:54 epoch_out: 0, epoch_in: 9, loss: -3.8718776911497117
2022/08/30 22:17:54 The epoch_out: 0, epoch_in: 9 of training F and G finished, losslist: [0.6474698498845101, -0.542897142469883, -0.6961748197674751, -1.11025420576334, -1.2603005796670914, -1.5778785988688468, -2.09747554063797, -2.676124703884125, -3.0854228079319, -3.8718776911497117], acclist: [0, 0.42, 0.5, 0.5, 0.525, 0.5, 0.53, 0.5, 0.535, 0.555, 0.54, 0.565, 0.565, 0.53, 0.51, 0.53, 0.51, 0.5, 0.505, 0.53, 0.515, 0.5, 0.505, 0.535, 0.535, 0.535, 0.525, 0.52, 0.54, 0.525, 0.505, 0.555, 0.51, 0.535, 0.54, 0.54, 0.52, 0.525, 0.535, 0.49, 0.54, 0.525, 0.505, 0.5, 0.53, 0.535, 0.51, 0.54, 0.5, 0.515, 0.545, 0.555, 0.545, 0.565, 0.565, 0.535, 0.535, 0.54, 0.55, 0.555, 0.52, 0.52, 0.565, 0.525, 0.535, 0.535, 0.565, 0.54, 0.57, 0.53, 0.555, 0.55, 0.52, 0.53, 0.57, 0.55, 0.595, 0.56, 0.535, 0.54, 0.55, 0.53, 0.54, 0.555, 0.575, 0.545, 0.565, 0.54, 0.53, 0.52, 0.545, 0.55, 0.57, 0.56, 0.57, 0.565, 0.56, 0.54, 0.525, 0.525, 0.535, 0.525, 0.555, 0.535, 0.575, 0.565, 0.52, 0.525, 0.525, 0.52, 0.51, 0.505, 0.505, 0.515, 0.51, 0.55, 0.51, 0.53, 0.535, 0.515, 0.525, 0.515, 0.505, 0.54, 0.54, 0.53, 0.56, 0.56, 0.55, 0.55, 0.54, 0.535, 0.515, 0.525, 0.51, 0.505, 0.545, 0.54, 0.515, 0.51, 0.53, 0.57, 0.53, 0.525, 0.525, 0.54, 0.525, 0.55, 0.555, 0.5, 0.5, 0.54, 0.535, 0.51, 0.49, 0.525, 0.535, 0.535, 0.515, 0.545, 0.54, 0.505, 0.48, 0.515, 0.53, 0.51, 0.54, 0.475, 0.54, 0.555, 0.555, 0.545, 0.525, 0.545, 0.5, 0.53, 0.515, 0.5, 0.535, 0.49, 0.535, 0.5, 0.515, 0.5, 0.555, 0.545, 0.495, 0.54, 0.515, 0.54, 0.49, 0.51, 0.54, 0.475, 0.51, 0.525, 0.51, 0.47, 0.51, 0.52, 0.48, 0.49, 0.505, 0.51, 0.505, 0.515, 0.49, 0.51, 0.51, 0.53, 0.51, 0.5, 0.48, 0.525, 0.51, 0.5, 0.525, 0.555, 0.495, 0.53, 0.565, 0.52, 0.505, 0.505, 0.525, 0.54, 0.48, 0.49, 0.51, 0.51, 0.54, 0.505, 0.56, 0.52, 0.5, 0.52, 0.54, 0.535, 0.545, 0.49, 0.53, 0.54, 0.495, 0.565, 0.505, 0.53, 0.485, 0.51, 0.51, 0.525, 0.465, 0.47, 0.52, 0.555, 0.52, 0.51, 0.505, 0.505, 0.53, 0.55, 0.54, 0.5, 0.51, 0.535, 0.48, 0.525, 0.495, 0.495, 0.525, 0.48, 0.525, 0.545, 0.505, 0.53, 0.505, 0.47, 0.465, 0.5, 0.49, 0.49, 0.525, 0.515, 0.53, 0.52, 0.535, 0.525, 0.53, 0.55, 0.54, 0.525, 0.48, 0.515, 0.555, 0.525, 0.47, 0.515, 0.51, 0.525, 0.495, 0.54, 0.525, 0.53, 0.525, 0.545, 0.545, 0.48, 0.52, 0.5, 0.505, 0.485, 0.48, 0.5, 0.525, 0.51, 0.505, 0.505, 0.505, 0.505, 0.49, 0.485, 0.5, 0.49, 0.515, 0.545, 0.52, 0.5, 0.55, 0.505, 0.525, 0.49, 0.5, 0.475, 0.49, 0.53, 0.5, 0.525, 0.495, 0.515, 0.505, 0.515, 0.525, 0.53, 0.5, 0.525, 0.525, 0.49, 0.5, 0.49, 0.485, 0.475, 0.5, 0.485, 0.44, 0.46, 0.5, 0.545, 0.53, 0.51, 0.49, 0.5, 0.49, 0.485, 0.42, 0.485, 0.46, 0.485, 0.54, 0.525, 0.525, 0.55, 0.48, 0.475, 0.5, 0.49, 0.545, 0.505, 0.515, 0.505, 0.485, 0.52, 0.49, 0.485, 0.53, 0.505, 0.505, 0.49, 0.51, 0.48, 0.505, 0.5, 0.49, 0.5, 0.485, 0.51, 0.5, 0.5, 0.53, 0.495, 0.5, 0.54, 0.535], finalacc: 0.595, alpha: tensor([0.7842, 0.7400, 0.8273, 0.7695, 0.7449, 0.6937, 0.4078, 0.5002])
