2022/08/30 22:19:55 available device: cuda:0
2022/08/30 22:20:10 epoch_out: 0, epoch_in: 0, loss: 1.007449147105217
2022/08/30 22:20:22 epoch_out: 0, epoch_in: 1, loss: -0.5452180713415146
2022/08/30 22:20:33 epoch_out: 0, epoch_in: 2, loss: -0.8673956170678139
2022/08/30 22:20:45 epoch_out: 0, epoch_in: 3, loss: -1.2899105817079544
2022/08/30 22:20:56 epoch_out: 0, epoch_in: 4, loss: -1.5004342377185822
2022/08/30 22:21:07 epoch_out: 0, epoch_in: 5, loss: -1.8020773202180862
2022/08/30 22:21:19 epoch_out: 0, epoch_in: 6, loss: -2.2986890077590942
2022/08/30 22:21:31 epoch_out: 0, epoch_in: 7, loss: -2.5651718258857725
2022/08/30 22:21:43 epoch_out: 0, epoch_in: 8, loss: -2.864750403165817
2022/08/30 22:21:54 epoch_out: 0, epoch_in: 9, loss: -3.0366568356752395
2022/08/30 22:21:54 The epoch_out: 0, epoch_in: 9 of training F and G finished, losslist: [1.007449147105217, -0.5452180713415146, -0.8673956170678139, -1.2899105817079544, -1.5004342377185822, -1.8020773202180862, -2.2986890077590942, -2.5651718258857725, -2.864750403165817, -3.0366568356752395], acclist: [0, 0.53, 0.54, 0.53, 0.545, 0.475, 0.48, 0.475, 0.465, 0.47, 0.415, 0.465, 0.495, 0.495, 0.5, 0.46, 0.48, 0.45, 0.46, 0.475, 0.495, 0.49, 0.535, 0.49, 0.465, 0.45, 0.46, 0.445, 0.46, 0.45, 0.5, 0.455, 0.485, 0.48, 0.46, 0.43, 0.45, 0.435, 0.46, 0.455, 0.5, 0.47, 0.47, 0.44, 0.5, 0.44, 0.425, 0.425, 0.44, 0.435, 0.445, 0.46, 0.47, 0.475, 0.505, 0.51, 0.465, 0.465, 0.495, 0.495, 0.475, 0.48, 0.45, 0.48, 0.485, 0.465, 0.47, 0.49, 0.51, 0.515, 0.53, 0.525, 0.505, 0.53, 0.495, 0.505, 0.51, 0.53, 0.505, 0.5, 0.52, 0.495, 0.48, 0.485, 0.51, 0.515, 0.485, 0.54, 0.505, 0.515, 0.51, 0.46, 0.52, 0.54, 0.505, 0.5, 0.52, 0.515, 0.48, 0.485, 0.495, 0.5, 0.51, 0.525, 0.5, 0.5, 0.515, 0.485, 0.505, 0.515, 0.54, 0.545, 0.49, 0.515, 0.535, 0.535, 0.51, 0.53, 0.53, 0.535, 0.51, 0.5, 0.49, 0.485, 0.5, 0.51, 0.485, 0.505, 0.475, 0.53, 0.515, 0.54, 0.525, 0.53, 0.51, 0.525, 0.495, 0.465, 0.51, 0.505, 0.485, 0.535, 0.565, 0.515, 0.525, 0.555, 0.52, 0.515, 0.5, 0.535, 0.525, 0.56, 0.56, 0.53, 0.565, 0.555, 0.55, 0.575, 0.525, 0.535, 0.52, 0.525, 0.54, 0.545, 0.51, 0.5, 0.51, 0.54, 0.54, 0.545, 0.51, 0.555, 0.565, 0.525, 0.52, 0.525, 0.54, 0.515, 0.52, 0.545, 0.545, 0.53, 0.53, 0.555, 0.55, 0.535, 0.535, 0.56, 0.505, 0.555, 0.515, 0.515, 0.515, 0.535, 0.545, 0.55, 0.57, 0.52, 0.515, 0.55, 0.55, 0.555, 0.565, 0.56, 0.545, 0.535, 0.575, 0.555, 0.555, 0.565, 0.58, 0.59, 0.56, 0.56, 0.59, 0.555, 0.58, 0.58, 0.53, 0.52, 0.565, 0.58, 0.59, 0.545, 0.54, 0.55, 0.535, 0.51, 0.53, 0.52, 0.52, 0.56, 0.53, 0.525, 0.535, 0.555, 0.555, 0.545, 0.565, 0.545, 0.53, 0.55, 0.55, 0.555, 0.525, 0.565, 0.55, 0.55, 0.555, 0.525, 0.535, 0.53, 0.535, 0.545, 0.54, 0.54, 0.555, 0.59, 0.56, 0.55, 0.57, 0.555, 0.545, 0.54, 0.555, 0.57, 0.525, 0.555, 0.53, 0.58, 0.56, 0.545, 0.55, 0.55, 0.56, 0.53, 0.51, 0.525, 0.565, 0.565, 0.56, 0.565, 0.56, 0.56, 0.56, 0.56, 0.58, 0.55, 0.53, 0.555, 0.565, 0.57, 0.58, 0.57, 0.595, 0.555, 0.555, 0.565, 0.55, 0.555, 0.58, 0.51, 0.54, 0.55, 0.565, 0.555, 0.545, 0.545, 0.565, 0.55, 0.56, 0.52, 0.57, 0.575, 0.54, 0.545, 0.54, 0.56, 0.565, 0.535, 0.555, 0.505, 0.555, 0.545, 0.59, 0.53, 0.555, 0.6, 0.55, 0.555, 0.56, 0.525, 0.56, 0.575, 0.55, 0.575, 0.58, 0.545, 0.555, 0.55, 0.58, 0.56, 0.5, 0.545, 0.565, 0.55, 0.535, 0.55, 0.55, 0.565, 0.565, 0.59, 0.55, 0.54, 0.57, 0.54, 0.58, 0.57, 0.575, 0.58, 0.535, 0.54, 0.565, 0.57, 0.545, 0.505, 0.55, 0.545, 0.555, 0.58, 0.59, 0.54, 0.55, 0.545, 0.56, 0.575, 0.55, 0.565, 0.54, 0.515, 0.555, 0.57, 0.545, 0.55, 0.575, 0.535, 0.555, 0.55, 0.55, 0.52, 0.55, 0.5, 0.55, 0.55, 0.57, 0.525, 0.545, 0.57, 0.515, 0.55, 0.56], finalacc: 0.6, alpha: tensor([0.9317, 0.5340, 0.5152, 0.7663, 0.3147, 0.0410, 0.1887, 0.5440])
